2026-04-13 11:20:24 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 11:20:24 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 11:30:35 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 11:30:35 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 11:31:04 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 11:31:04 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 11:50:53 | INFO     | __main__:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 11:50:53 | DEBUG    | __main__:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 11:51:13 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 11:51:13 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 11:51:44 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 11:51:44 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 12:29:24 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 12:29:24 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 12:29:24 | INFO     | __main__:__init__:159 | Inicializacia kniznice
2026-04-13 13:05:04 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 13:05:04 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 13:05:04 | INFO     | __main__:__init__:159 | Inicializacia kniznice
2026-04-13 13:36:27 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 13:36:27 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 13:36:27 | INFO     | __main__:__init__:159 | Inicializacia kniznice
2026-04-13 13:36:29 | INFO     | __main__:najdi:445 | vyhladavanie: 
Zadaj nazov knihy: 
2026-04-13 15:10:44 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 15:10:44 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 15:10:44 | INFO     | __main__:__init__:159 | Inicializacia kniznice
2026-04-13 15:10:46 | INFO     | __main__:najdi:445 | vyhladavanie: 
Zadaj nazov knihy: 
2026-04-13 15:12:54 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 15:12:54 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 15:12:54 | INFO     | __main__:__init__:159 | Inicializacia kniznice
2026-04-13 15:13:06 | DEBUG    | logger_conf:wrapper:112 | Volanie funkcie: pridaj_novu_knihu s args = (<__main__.Kniznica object at 0x05C3DAC8>,), kwargs = {}
2026-04-13 16:07:59 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-13 16:07:59 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-13 16:07:59 | INFO     | __main__:__init__:159 | Inicializacia kniznice
