2026-04-15 13:04:30 | INFO     | __main__:spusti_program:759 | Inicializacia kniznice
2026-04-15 13:04:30 | DEBUG    | logger_conf:wrapper:112 | Volanie funkcie: nacitaj_zoznam_clenov s args = (<__main__.Kniznica object at 0x04DA1BA0>,), kwargs = {}
2026-04-15 13:04:30 | DEBUG    | logger_conf:wrapper:115 | Funkcia nacitaj_zoznam_clenov uspesne dokoncena
2026-04-15 13:04:30 | INFO     | __main__:__init__:159 | Inicializacia kniznice
2026-04-15 13:04:40 | INFO     | logger_conf:setup_logger:79 | Loguru logger je nakonfigurovany
2026-04-15 13:04:40 | DEBUG    | logger_conf:setup_logger:80 | Logy su ulozene v priecinku: {os.path.abspath(log_dir)}
2026-04-15 13:04:40 | INFO     | __main__:spusti_program:752 | Spustenie programu kniznica
2026-04-15 13:04:40 | DEBUG    | __main__:spusti_program:754 | Nacitavanie ID pre knihy
2026-04-15 13:04:40 | DEBUG    | __main__:spusti_program:756 | Nacitavanie ID pre clenov
2026-04-15 13:04:40 | INFO     | __main__:spusti_program:759 | Inicializacia kniznice
2026-04-15 13:04:40 | DEBUG    | logger_conf:wrapper:112 | Volanie funkcie: nacitaj_zoznam_clenov s args = (<__main__.Kniznica object at 0x03EBA510>,), kwargs = {}
2026-04-15 13:04:40 | DEBUG    | logger_conf:wrapper:115 | Funkcia nacitaj_zoznam_clenov uspesne dokoncena
2026-04-15 13:04:40 | INFO     | __main__:__init__:159 | Inicializacia kniznice
